Customer ID,Age,Salary,Total Spent,Payment Method,Days Since Joined,Gender,First Name,Last Name,Email,IBAN,2-Clusters Group,3-Clusters Group,4-Clusters Group,5-Clusters Group,6-Clusters Group,7-Clusters Group,8-Clusters Group,9-Clusters Group
10001,55,48361,1871, Credit Card,4995,F,Leah,Melendez,leah_melendez@yahoo.com,GB90OUVP72085644511909,1,1,1,1,1,1,1,1
10074,36,40109,770, Debit Card,4399,F,Kayla,Robertson,robertson2966kayla7856@yahoo.com,GB66GDSO07952230542986,1,1,1,1,1,1,1,1
10072,55,76029,1995, Debit Card,4410,M,Eric,Reyes,ereyes8665@yahoo.com,GB44KUXO29756623289646,1,1,1,1,1,1,1,1
10071,42,58416,1492, Debit Card,4418,F,Janet,Harper,janet_harper@hotmail.com,GB76OVZB34781005783632,1,1,1,1,1,1,1,1
10068,40,41426,644, Debit Card,4447,F,Christina,Allen,callen@hotmail.com,GB14LDUO70686626278481,1,1,1,1,1,1,1,1
10089,48,52872,1081, Debit Card,4292,F,Leah,Smith,leah_smith3395@yahoo.com,GB65QPUS03812158390246,1,1,1,1,1,1,1,1
10046,52,67478,1816, Debit Card,4629,F,Melissa,Sanchez,melissasanchez@hotmail.com,GB95ZNYP98098959133770,1,1,1,1,1,1,1,1
10044,33,35023,644, Debit Card,4666,M,Christopher,Becker,christopher6019becker2323@gmail.com,GB50OJEG34884730877297,1,1,1,1,1,1,1,1
10019,45,56034,1899, Credit Card,4864,M,James,Miller,millerj4256@yahoo.com,GB55RHSU21174145244222,1,1,1,1,1,1,1,1
10016,32,29894,727, Debit Card,4892,M,William,Waters,william.waters@yahoo.com,GB51IOAR13288500002555,1,1,1,1,1,1,1,1
10075,33,46660,1221, Credit Card,4398,F,Nicole,Shepard,shepard8198n6503@yahoo.com,GB23HLCS96623540214455,1,1,1,1,1,1,1,1
10015,55,60330,1561,Cash,4896,F,Gabriella,Davis,davis_g9275@gmail.com,GB45HBZD76906693882893,1,1,1,1,1,1,1,1
10011,46,31046,559, Debit Card,4933,M,Terry,Fernandez,terry3685fernandez5185@yahoo.com,GB56KEPO72314340165399,1,1,1,1,1,1,1,1
10009,35,40751,1258, Debit Card,4949,F,Kathleen,Johnson,kathleen.johnson@hotmail.com,GB77VIKC97448239824724,1,1,1,1,1,1,1,1
10006,32,16765,452, Debit Card,4960,M,Sean,Taylor,sean_taylor8094@gmail.com,GB78JFTB54000911914307,1,1,1,1,1,1,1,1
10002,50,37326,1105, Debit Card,4986,F,Nicole,Williams,williams.nicole@hotmail.com,GB25HYVU57725715101557,1,1,1,1,1,1,1,1
10045,53,68581,1944, Debit Card,4653,M,Edwin,Fry,frye1985@gmail.com,GB54TTIL69582856333396,1,1,1,1,1,1,1,1
10022,37,49556,1497, Debit Card,4827,M,Jesse,Morton,mortonjesse4694@yahoo.com,GB71FURX03326949213409,1,1,1,1,1,1,1,1
10042,60,21037,1623, Other,4678,F,Samantha,Rivera,rivera.samantha9882@yahoo.com,GB88ZFKO77083128031874,1,1,1,1,1,1,1,1
10040,47,33464,508, Credit Card,4689,F,Stephanie,Cochran,cochran_s7918@hotmail.com,GB71KQVV44105599105758,1,1,1,1,1,1,1,1
10039,39,34157,780, Credit Card,4691,M,Benjamin,Simmons,simmons_b@gmail.com,GB56GHOZ30151470441217,1,1,1,1,1,1,1,1
10012,45,39620,1175, Credit Card,4928,F,Anna,Stout,a.stout8555@yahoo.com,GB79DSSI57669244816418,1,1,1,1,1,1,1,1
10038,61,75379,1971,Cash,4713,F,Traci,Briggs,tbriggs4003@gmail.com,GB74JKVH40186729497428,1,1,1,1,1,1,1,1
10077,41,57915,1588, Credit Card,4375,M,Richard,Flores,richardflores@gmail.com,GB73LNCS92033473782331,1,1,1,1,1,1,1,1
10079,49,41324,647, Credit Card,4365,F,Kristin,Lopez,kristin4356lopez2018@gmail.com,GB17MXTV25494640528038,1,1,1,1,1,1,1,1
10296,31,60772,1141, Debit Card,2255,F,Tammy,Ryan,ryan4542t2795@yahoo.com,GB07WVXK40106123300068,1,1,1,1,1,1,1,1
10313,37,57833,846, Debit Card,2079,M,Alexander,Ho,a1831ho@hotmail.com,GB83MIIG89610302040727,1,1,1,1,1,1,1,1
10317,29,60329,1129, Debit Card,2059,F,Danielle,Davis,ddavis3519@yahoo.com,GB30ONEN82161334449539,1,1,1,1,1,1,1,1
10171,52,48808,617, Credit Card,3427,F,Natasha,Price,nprice@hotmail.com,GB18NFWM83119034427527,1,1,1,1,1,1,1,1
10169,46,50891,791, Credit Card,3444,M,Juan,Jones,juan9472jones1000@gmail.com,GB52MKIN56811487963115,1,1,1,1,1,1,1,1
10065,33,48634,1274, Debit Card,4482,F,Julia,Lewis,lewisjulia5340@yahoo.com,GB50WCNJ00455259459907,1,1,1,1,1,1,1,1
10061,32,39114,737, Debit Card,4504,F,Laura,Gutierrez,gutierrez9759l@gmail.com,GB27NJCG58701238129138,1,1,1,1,1,1,1,1
10059,46,56037,1514, Credit Card,4544,M,Louis,Lopez,lopezlouis4171@hotmail.com,GB73KXNG03985677153044,1,1,1,1,1,1,1,1
10058,29,36561,933, Credit Card,4570,M,Jonathan,Parker,j_parker4529@yahoo.com,GB30OONN94198675586625,1,1,1,1,1,1,1,1
10078,41,39486,793, Credit Card,4368,M,Mark,Williams,williams_m@gmail.com,GB25CLDE13330334487435,1,1,1,1,1,1,1,1
10057,44,40523,815, Credit Card,4579,M,James,Simpson,james8865simpson@yahoo.com,GB49KBIW05356004027804,1,1,1,1,1,1,1,1
10053,40,53856,1379, Debit Card,4589,F,Donna,Ward,warddonna@hotmail.com,GB26FECR95902149427416,1,1,1,1,1,1,1,1
10052,42,69451,2138, Debit Card,4594,F,Pam,Rice,pam.rice@hotmail.com,GB35VQRH73662088749029,1,1,1,1,1,1,1,1
10051,41,61320,1911, Credit Card,4596,M,Jon,Lowe,jon_lowe@hotmail.com,GB24MUDB70564429095865,1,1,1,1,1,1,1,1
10049,65,20223,1929, Other,4619,M,Tom,Acosta,t4169acosta@hotmail.com,GB36RVNX38872773086986,1,1,1,1,1,1,1,1
10047,31,47853,1439, Credit Card,4628,F,Jill,Hawkins,hawkins_jill@yahoo.com,GB20FFGS71870966712040,1,1,1,1,1,1,1,1
10066,34,50742,1342, Debit Card,4472,F,Sara,Parker,parker974sara1823@hotmail.com,GB59TNZZ81163216725265,1,1,1,1,1,1,1,1
10088,30,29919,487, Debit Card,4296,M,Stephen,White,white299s7302@yahoo.com,GB45DKLZ91963887904618,1,1,1,1,1,1,1,1
10085,30,38649,650,Cash,4306,F,Karla,Schmitt,schmitt4736k6922@gmail.com,GB20TWDI01580417833658,1,1,1,1,1,1,1,1
10081,39,39652,690, Debit Card,4344,M,Calvin,Le,c7288le3099@yahoo.com,GB23PQFS83134768326986,1,1,1,1,1,1,1,1
10055,71,13808,1365, Other,4584,F,Elizabeth,Cooper,e1051cooper7109@yahoo.com,GB69PGZD75556504864438,1,1,1,1,1,1,1,1
10035,40,44803,1170, Credit Card,4744,M,William,Rice,rice_william@hotmail.com,GB04NZAN87843907785838,1,1,1,1,1,1,1,1
10034,30,32700,645,Cash,4762,M,David,Berry,berry.d@hotmail.com,GB03NMUY62699668854049,1,1,1,1,1,1,1,1
10032,40,35976,763, Debit Card,4777,M,Anthony,Johnson,ajohnson@hotmail.com,GB54LEGG89062437052036,1,1,1,1,1,1,1,1
10091,44,53387,1019, Debit Card,4274,F,Lindsey,Gregory,l_gregory2609@gmail.com,GB48JOFK19765698846749,1,1,1,1,1,1,1,1
10138,31,36792,524, Debit Card,3721,M,Nicholas,Kaufman,nkaufman4966@yahoo.com,GB76QVNA81542513699907,1,1,1,1,1,1,1,1
